States,Failure_Count
AL,7
AK,0
AZ,16
AR,4
CA,41
CO,10
CT,2
DE,0
FL,75
GA,93
HI,0
ID,2
IL,68
IN,3
IA,2
KS,10
KY,2
LA,4
ME,0
MD,10
MA,1
MI,14
MN,23
MS,2
MO,16
MT,0
NE,3
NV,12
NH,1
NJ,7
NM,3
NY,5
NC,7
ND,0
OH,8
OK,7
OR,6
PA,10
RI,0
SC,10
SD,1
TN,7
TX,12
UT,8
VT,0
VA,5
WA,19
WV,1
WI,11
WY,1
